,0.05,0.055,0.06,0.065,0.06999999999999999,0.07499999999999998,0.07999999999999999,0.08499999999999999
7.0,409.13,397.18,387.22,378.79,371.56,365.3,359.82,354.99
7.5,423.15,411.2,401.24,392.81,385.58,379.32,373.84,369.01
8.0,437.17,425.22,415.26,406.83,399.6,393.34,387.86,383.03
8.5,451.19,439.24,429.28,420.85,413.62,407.36,401.88,397.05
9.0,465.21,453.26,443.3,434.87,427.64,421.38,415.9,411.07
9.5,479.23,467.28,457.32,448.89,441.66,435.4,429.92,425.09
10.0,493.25,481.3,471.34,462.91,455.68,449.42,443.94,439.11
10.5,507.27,495.32,485.36,476.93,469.7,463.44,457.96,453.13
11.0,521.29,509.34,499.38,490.95,483.72,477.46,471.98,467.15
11.5,535.31,523.36,513.4,504.97,497.74,491.48,486.0,481.17
12.0,549.33,537.38,527.42,518.99,511.76,505.5,500.02,495.19
