Facility Name,Location,Number of Beds,Property Ownership
The Meadows Psychiatric Center,Centre Hall Pennsylvania,119,Owned
Meridell Achievement Center,Liberty Hill Texas,134,Owned
Mesilla Valley Hospital,Las Cruces New Mexico,120,Owned
Michael's House,Palm Springs California,60,Owned
Michiana Behavioral Health,Plymouth Indiana,83,Owned
Midwest Center for Youth and Families,Kouts Indiana,75,Owned
Millwood Hospital,Arlington Texas,134,Leased
Mountain Youth Academy,Mountain City Tennessee,122,Owned
Newport News Behavioral Health Center,Newport News Virginia,132,Owned
North Spring Behavioral Healthcare,Leesburg Virginia,127,Leased
North Star Hospital,Anchorage Alaska,74,Owned
Chris Kyle Patriots Hospital,Anchorage Alaska,66,Owned
North Star DeBarr Residential Treatment Center,Anchorage Alaska,30,Owned
North Star Palmer Residential Treatment Center,Palmer Alaska,30,Owned
Oak Plains Academy,Ashland City Tennessee,60,Owned
Okaloosa Youth Academy,Crestview Florida,72,Leased
Old Vineyard Behavioral Health Services,Winston-Salem North Carolina,164,Owned
Palm Point Behavioral Health,Titusville Florida,74,Owned
Palm Shores Behavioral Health Center,Bradenton Florida,65,Owned
Palmetto Lowcountry Behavioral Health,North Charleston South Carolina,108,Owned
Palo Verde Behavioral Health,Tucson Arizona,84,Owned
Parkwood Behavioral Health System,Olive Branch Mississippi,148,Owned
The Pavilion Behavioral Health System,Champaign Illinois,122,Owned
Peachford Hospital,Atlanta Georgia,246,Owned
Pembroke Hospital,Pembroke Massachusetts,120,Owned
Pinnacle Pointe Behavioral Healthcare System,Little Rock Arkansas,127,Owned
Poplar Springs Hospital,Petersburg Virginia,208,Owned
Prairie St John's,Fargo North Dakota,132,Owned
PRIDE Institute,Eden Prairie Minnesota,42,Owned
Provo Canyon School,Provo Utah,250,Owned
Psychiatric Institute of Washington,Washington D.C.,130,Owned
Quail Run Behavioral Health,Phoenix Arizona,116,Owned
The Ridge Behavioral Health System,Lexington Kentucky,110,Owned
Rivendell Behavioral Health Hospital,Bowling Green Kentucky,125,Owned
Rivendell Behavioral Health Services of Arkansas,Benton Arkansas,80,Owned
River Oaks Hospital,Harahan Louisiana,126,Owned
River Park Hospital,Huntington West Virginia,187,Owned
River Point Behavioral Health,Jacksonville Florida,84,Owned
River Vista Behavioral Health,Madera California,128,Owned
Riveredge Hospital,Forest Park Illinois,210,Owned
Rockford Center,Newark Delaware,148,Owned
Rolling Hills Hospital,Franklin Tennessee,130,Owned
Roxbury Treatment Center,Shippensburg Pennsylvania,112,Owned
Saint Simons By-The-Sea,Saint Simons Island Georgia,101,Owned
Salt Lake Behavioral Health,Salt Lake City Utah,118,Leased
San Marcos Treatment Center,San Marcos Texas,265,Owned
SandyPines Residential Treatment Center,Jupiter Florida,149,Owned
Sierra Vista Hospital,Sacramento California,171,Owned
Skywood Recovery,Augusta Michigan,100,Owned
Southeast Behavioral Health,Cape Girardeau Missouri,102,Owned
Spring Mountain Sahara,Las Vegas Nevada,30,Owned
Spring Mountain Treatment Center,Las Vegas Nevada,110,Owned
Springwoods Behavioral Health,Fayetteville Arkansas,80,Owned
Stonington Institute,North Stonington Connecticut,64,Owned
Streamwood Behavioral Healthcare System,Streamwood Illinois,178,Owned
Summit Oaks Hospital,Summit New Jersey,126,Owned
SummitRidge Hospital,Lawrenceville Georgia,106,Owned
Suncoast Behavioral Health Center,Bradenton Florida,60,Owned
Texas NeuroRehab Center,Austin Texas,137,Owned
Three Rivers Behavioral Health,West Columbia South Carolina,129,Owned
Three Rivers Midlands,West Columbia South Carolina,64,Owned
Turning Point Care Center,Moultrie Georgia,79,Owned
University Behavioral Center,Orlando Florida,112,Owned
University Behavioral Health of Denton,Denton Texas,104,Owned
Valle Vista Health System,Greenwood Indiana,140,Owned
Valley Hospital,Phoenix Arizona,122,Owned
Via Linda Behavioral Hospital,Scottsdale Arizona,120,Leased
The Vines Hospital,Ocala Florida,98,Owned
Virginia Beach Psychiatric Center,Virginia Beach Virginia,100,Owned
Wekiva Springs Center,Jacksonville Florida,120,Owned
Wellstone Regional Hospital,Jeffersonville Indiana,100,Owned
West Oaks Hospital,Houston Texas,176,Owned
Willow Springs Center,Reno Nevada,116,Owned
Windmoor Healthcare of Clearwater,Clearwater Florida,144,Owned
Windsor Laurelwood Center for Behavioral Medicine,Willoughby Ohio,160,Leased
Wyoming Behavioral Institute,Casper Wyoming,137,Owned
